team,wins,losses,runs_scored,runs_allowed
Milwaukee Brewers,97,65,806,634
Philadelphia Phillies,96,66,778,648
Toronto Blue Jays,94,68,798,721
New York Yankees,94,68,849,685
Los Angeles Dodgers,93,69,825,683
Chicago Cubs,92,70,793,649
Seattle Mariners,90,72,766,694
San Diego Padres,90,72,702,621
Boston Red Sox,89,73,786,676
Cleveland Guardians,88,74,643,649
Detroit Tigers,87,75,758,691
Houston Astros,87,75,686,665
Cincinnati Reds,83,79,716,681
New York Mets,83,79,766,715
Kansas City Royals,82,80,651,637
San Francisco Giants,81,81,705,684
Texas Rangers,81,81,684,605
Arizona Diamondbacks,80,82,791,785
Miami Marlins,79,83,709,798
St. Louis Cardinals,78,84,689,754
Tampa Bay Rays,77,85,714,683
Athletics,76,86,733,817
Atlanta Braves,76,86,724,734
Baltimore Orioles,75,87,677,788
Los Angeles Angels,72,90,673,837
Pittsburgh Pirates,71,91,583,645
Minnesota Twins,70,92,678,773
Washington Nationals,66,96,687,899
Chicago White Sox,60,102,647,742
Colorado Rockies,43,119,597,1021